Data/Time,CPU usage %,Temperature C
2022-04-05 01:12:21.657663,28,40.9
2022-04-05 01:12:31.927594,29.1,40.9
2022-04-05 01:12:42.167656,27.3,41.3
2022-04-05 01:12:52.438260,27.1,40.9
2022-04-05 01:13:02.837622,27.7,40.9
2022-04-05 01:13:13.261495,28.2,40.4
2022-04-05 01:13:23.687259,21.4,39.9
2022-04-05 01:13:34.179234,17,40.4
2022-04-05 01:13:44.687661,18.4,41.3
2022-04-05 01:13:55.089687,17.4,41.3
2022-04-05 01:14:05.537776,17.2,40.4
2022-04-05 01:14:15.964107,16.4,41.3
2022-04-05 01:14:26.317615,17.3,40.4
2022-04-05 01:14:36.717628,16.9,40.4
2022-04-05 01:14:47.118646,16.3,39.9
2022-04-05 01:14:57.497748,15.7,40.9
2022-04-05 01:15:07.897597,16.1,40.4
2022-04-05 01:15:18.290700,16,40.4
2022-04-05 01:15:28.687692,19.7,40.4
2022-04-05 01:15:39.067635,16.9,41.3
2022-04-05 01:15:49.467638,16,40.4
2022-04-05 01:15:59.852260,18.1,40.4
2022-04-05 01:16:10.237595,16.3,40.9
2022-04-05 01:16:20.617640,16.3,40.9
2022-04-05 01:16:30.987680,16.8,41.8
2022-04-05 01:16:41.386297,16.2,40.4
2022-04-05 01:16:51.777747,15.7,39.4
2022-04-05 01:17:02.197953,17.2,39.9
2022-04-05 01:17:12.447708,17.1,40.4
2022-04-05 01:17:22.667657,16.6,39.4
2022-04-05 01:17:33.148669,17.1,40.4
2022-04-05 01:17:43.547663,22.5,39.9
2022-04-05 01:17:53.917994,29.5,39.9
2022-04-05 01:18:04.317691,26.8,39.9
2022-04-05 01:18:14.707602,27.3,40.4
2022-04-05 01:18:24.917601,21.8,40.4
2022-04-05 01:18:35.286132,16.4,40.4
2022-04-05 01:18:45.507668,16.4,39.9
2022-04-05 01:18:55.887682,16.4,39.4
2022-04-05 01:19:06.327847,16,40.9
2022-04-05 01:19:16.579043,16.9,39.9
2022-04-05 01:19:26.808146,16.4,40.4
2022-04-05 01:19:37.077731,16.2,40.4
2022-04-05 01:19:47.469820,17.3,39.9
2022-04-05 01:19:57.708874,16.6,39.9
2022-04-05 01:20:07.947677,16,40.4
2022-04-05 01:20:18.327826,16.4,40.4
2022-04-05 01:20:28.727649,20.2,41.8
2022-04-05 01:20:38.947624,15.8,40.4
2022-04-05 01:20:49.340315,17.8,40.4
2022-04-05 01:20:59.717680,16.7,40.9
2022-04-05 01:21:10.097590,16.7,39.4
2022-04-05 01:21:20.327631,16.5,40.4
2022-04-05 01:21:30.712510,16.8,40.9
2022-04-05 01:21:41.107661,16.5,40.4
2022-04-05 01:21:51.522376,16.3,41.3
2022-04-05 01:22:01.757644,17.4,39.4
2022-04-05 01:22:12.157618,17.2,39.4
2022-04-05 01:22:22.547662,17.5,40.9
2022-04-05 01:22:33.007680,18.1,40.4
2022-04-05 01:22:43.237634,16.9,40.4
2022-04-05 01:22:53.467654,17.2,39.9
2022-04-05 01:23:03.707867,18.8,39.4
2022-04-05 01:23:14.097589,19,41.8
2022-04-05 01:23:24.337584,20.2,41.3
2022-04-05 01:23:34.607605,20.9,41.3
2022-04-05 01:23:44.854320,22.6,39.4
2022-04-05 01:23:55.221183,24.2,40.4
2022-04-05 01:24:05.727689,25.1,40.4
2022-04-05 01:24:16.120149,26.8,40.9
2022-04-05 01:24:26.337635,25.7,39.4
2022-04-05 01:24:36.597644,18.1,40.4
2022-04-05 01:24:46.967790,16,39.9
2022-04-05 01:24:57.352165,15.9,40.4
2022-04-05 01:25:07.567651,16.7,40.4
2022-04-05 01:25:17.819112,15.7,40.4
2022-04-05 01:25:28.047659,16.8,41.3
